Query_ID	day	month	query
386527	1	mar.	Mr bobsman rang after receving letter re pensioner conc. I explained that he is only on home line part and was not eligible for conc. He became very irate he wanted a complaint lodged after speaking to my manager to say that he was convinced ASTROCOMM is blackmailing pensioners to return to ASTROCOMM and that this letter is faluse advertising as he says there is nothing on the letter to say all services has to be with ASTROCOMM.
386531	1	mar.	Cust needs to complain as his service has been out since 18/02 and is still not restored. Cust is very unhappy with this and needs us to call him to discuss
386534	2	mar.	Comp logged for valda noble tm s surname tech attended 28/02 fri and could not locate ntu message left for tech to re attend sat morning had 3 staff but tech no show. Claiming staff wages and poor service
386538	2	mar.	Customer advised that there was a fault on their line, a commit was arranged for customer. A linesman went out today to restore fault, an nia card was left advising the customer that the fault maybe within the premises and that a phonecall needed to be made to ASTROCOMM to arrange an appointment. Since the fault wasnt caused by the customer she feels that the line rental should be taken off for everyday that the service is unworkable
386541	2	mar.	Mr bobll is upset that no one notified him when fault was closed off on 28/02/2003. He was told someone would call him when it was fixed yet it never happened. This means his diversion have been left on and he has been making calls from his mobile which has become very expensive.
386544	2	mar.	The customer is unhappy with the service provided by ASTROCOMM, he was first advised that his service would be restored 25/02, it was not done, then he called in to report but this time it was a no dial tone, it was first said to be done by 01/03/2003, then a person advised him it would be 02/03/2003, when he was advised of this the consultant said someone had tried to call, though the customer says he did not recieve any missed calls, when he called on the 02/03/2003 to advise that his service was still not restored, he was once again advised the service could not be restored until a later date this time it was to be 04/03/2003, once again it was noted that some one tried to call the customer and them of this, but the customer advises he did not recieve such missed call on his contact number which is the mobile,
386545	2	mar.	Cust has had net fault for 20 days. 1 week after the fault was fixed she gets another nwnet fault and has to wait 5 days for sg appt. Cust is disatisfied with long waits and says she deserves to be treated as a priority because she has already waited 20 days for iniTIAl fault fixed.
386548	2	mar.	Customer has had no service since 25 feb. Service rep came out 26 feb customer not home checked outside left message to say needed access to home. Customer had appointment between 12.00-17.00. Got a call to say could not attend today. Next available appointment is Tuesday. Customer has diversion but has to use mobile to make external calls feels should be compensated for mobile calls.
386551	2	mar.	Customers nephew called to enquire whwn his aunts service would be fixed. Advised him sg commit 03/03/2003. Mr bobin () was not too happy. He says his aunt is 86 years old and lives alone and needs a working service. Cust had reported a ctr on the 25th of feb which was restored but still faulty.
386552	2	mar.	Cust has had to wait for a long period of time to report his fault using a pre-paid mobile
386556	2	mar.	Mobil cnt nbr cust has had two faults have div call to mobil cust not happy at paying mobil rates on mobil for outgoing call while there is a fault last time fault dean what told by consultant if wanted loc rates would need to use pay phone dean felt this was a bit ordenary
386557	2	mar.	Cust advised when asked for service connected that she had two sockets in the premises and needed both active and also reqd a 3rd socket to be installed. When tech attended site only connected to one socket as this was what order reqd. Cust called & spoke with consultant whom wld not give name but advised cust of how we conn to 1 socket. Cust not happy with this consultant and wished to speak with manager, at time of call no manager was avail and i confirmed the 1 socket details and also advised can use AUSTEL licenced elect to have 3rd socket installed and 2nd socket connected as well, also advised whom we use in her area. Cust advised wld do this but if had to pay wld require reimbursement for the 2nd skta due to misinformation from us. Passed call to stm regarding details of sp complaint. Stm advised wld reimburse for 2nd skta if cust faxed details in.
386559	2	mar.	Mr bob gomer is very unhappy with the commitment given also he is angry about how often he has problems with his line and every time it takes up to a week to fix he can only contacted on his mobile sometimes as he has very bad coverage were he is
386561	2	mar.	Mr norm bobgow is the site manager for the seven oaks business centre. The previous tenant for this site was the bobovian office. The office is no longer a tenant but the site now has multiple tenants. When putting mr.bobgows number on site into fleximax it still shows that the number belongs to the ato because the ato are no longer present i have used a 0 as the cidn in regards to this complaint. Mr bob wishes to advise that about two weeks ago ASTROCOMM contractors by the name of core commnunications began laying a large cable through the area. To lay this cable the contractors had to cut through 300meters of lawn. When doing this they struck the main water supply, since this occured mr. bobgow has had private landscapers out to check the pipes of the reticulation system and have found that are many breakages and the solonoids are all blocked. Mr. bobgow has tried contacting the contractor on &. Mike has tried to contact mr. bobgow once but mr. bobgow was unavailable mr bob has heard nothing again from mike after several more attempts to contact him. Mr. bobgow needs the damage to the reticualtion repaired as the lawn and plant life is beginning to die in the hot weather that is currently happening in his area.
386564	2	mar.	Cust is unhappy that her line is constantly going faulty
386565	3	mar.	Mrs bobfield complained that tech that installed second line for internet arrived 99/2 hours alte for appt. He was met by a neighbour but could not install skta where cust requested although cust was not happy with spot , tech advised that only option was to install skta at near light switch (half way up wall) cust advised that there is a current AUSTAR connection where she wanted the skta on the other side of the same wall. She was contacted by the tech approx 8 times during the installation. The tech cld not locate the pit, and was given a dial before you dig map by cust son but apparently still had difficulty. Cust said that tech indicated there was a fault on the line but not that it was fixed. Now cust report continual dropouts. I advised cust i wld get this checked with faults but cld still be an isp issue.cust wants skta relocated to position indicated or to be fully informed as to why this could not be done originally.
386566	3	mar.	Customer recently had a noisy fault restored on her service, linesman advised her that he had to fix moisture on the joints. He also suspected there might be moisture in her underground lead in cable. Customer has had problems with the internet being excessively slow etc, believes this moisture in the underground lead in could be the cause, causing noise, which maynot be audible on voice calls, but enough to disrupt data transmission. I advised her that since her line is now working (for voice) that if she wanted ASTROCOMM to take out and replace her underground lead in, it might cost her a ffs. Customer believes that it should be ASTROCOMMs responsibility to fix her internet connection.
386568	3	mar.	Steven called he wasnnt happy with the service guarantee as he hid that the charges would have been more than 40 since he was never given the persec option on his act which he said he had asked for.
386571	3	mar.	Customer has complained that a linesman has attended to a fault with the first socket into premises.customer was advised by linesman that to connect the three other sockets at premises a fee for service would apply.the customer was not consulted by the linesman before he dissconnected the other sockets.the customer has DSL connected on this line and advises that it is now inconvienient to unplug equipment to log onto the internet.
386576	3	mar.	Cust called to say that he was utterly disgusted with his DSL service. He claims that he had one week where he was unable to get connected to the internet, he contacted tech support who told him that he would have to remove certain programs from his computer, as this would fix the situation. Cust claims that it didnt. He also says that he has had another tech out to reconfigure computer, and again was told that this would fix the problem. Again cust claims that this has not happened. Cust wanted it noted that he is dissatisfied with service and wanted to lodge a complaint about the situation, and wants someone to look into it for him 
386578	3	mar.	Cust rang concerned that she has recd an sik for DSL when she only rang to enquire about the service. States did not request connection. States recd sik 28/2/03 and returned it via bankstown post office on 1/3/03. Box had been opened to check what it was but equipment not used. No receipt held for return through post office. Requests cancellation of service now that she is aware it has been set up. No arbor a/c in existence so unable to place notes on the a/c. Plan - DSL 500mb. No other details available 
386581	3	mar.	The TIA laison group recieved correspondence from the TIA regarding the following; customer concern is the delay in the move and connection of 5 lines with internet to office address. Customer requested for the change back in late January ( 9959) and someone had advised that he had no cable and that it was not possible, but he was not given clear direction. After several phone calls to find out what happened. There was no record of the the conversation or the visit and the apparently the orders were cancelled. Therefore another call ws made to arranged for another date of 28/feb was agreed upon.the order number was 99877. customer states problem is that he must have the 5 lines as well as internet capable lines and this must be completed by the 28 feb 2003,otherwise alternative arrangements in place by this date. It is highly important for a medical surgery to have the telephone lines. customer needs the main number kept so that his patients can call him on this number on or after the 28 February 2003 when he moved to new office.
386582	3	mar.	Written correspondence received via ASTROSERVE re: charges for access to a pornographic site a/c number the customer has received a ASTROCOMM invoice for $295.69 in her husbands name for acesss to 1909xxxxx, which they believe is an adult chat line and pronography site, now apparently disconnected. The customer writes; we absolutely and totally refute any claim that we deliberately accessed any pornographic site and are surprised and extremely disappointed that ASTROCOMM is openly willing to support such sites.( refer to 5 page letter for more info).
386584	3	mar.	Cust rang faults - waited 2 hrs to be answered. Enquriing about 1309xxxxxxx nbr which is with different ASTROCOMM. Cust complaining about length of time he had to wait and at end of call still unable to get through to 1300 nbr.
386586	3	mar.	DSL acct # 9917.customer is disputing the 9924mb usage for the month of January as he feels that the usage is incorrect.cust advised that he is the only person with access to the svce & that since January he has not used any file sharing programmes as he had high usage for the month of December & was educated about file sharing programmes & has not accessed any since the end of December.cust also advised that he does not leave the computer on or unattended.he advised that he only used the svce to browse & for email.cust also advised that he has not access our usage meter as he has had problems connecting to it.cust advised that he uses the bigpong DSL email.darren also advised that he has antivirus software installed and also firewalls emma murphy 
386587	3	mar.	Customer phoned tonight to follow up on another complaint. Customer was not happy that his complaint was not resolved and wishes further contact. Notes added to cato 9960 and complaint 9948 reopened. Customer went onto complain that the supervisor he had spoken to last night and the supervisor he had spoken to tonight had been unable to help him with these complaints. Customer wants a call back from the supervisors manager regarding this.
386588	3	mar.	Rcvd email, email adress:brenmimbob@astronet.com: kana case number 9942: subject: unhappy customer.to whom it my concern,iam writing in regards to my astronet account. On the 27th February i received an e-mail from ASTROCOMM astronet account notification.which i was not at all impressed about and did not quite understand and rang 992 for an explanation.when i connected to the internet i was of the understanding that i was on the internet frequent plan(12mth contract) which i could change if needed. However now i find i was connected to the internet light plan.since i connected to the internet, i have had rather a lot of misunderstandings, and since finding this my plan, has also been mixed up has become beyond me, not at all happy with what has happened.i would very much appreciate some sort of correction and explanation to what can be done.you will have all the dates contacts and information available since my connection, i now have a $100.15 bill which would have given me atleast 4mths use with outgoing over my limits.also i have ASTROCOMM bulletinboard which i was of the understanding that while using the computer my calls would still come through to it without any problems. Bob my calls do go to bulletinboard however i get disconnected complerety in the process, which means i need to reconnect, this is also not the understanding i had received of having bulletinboard.looking foward to your reply and response.yours faithfully 
386592	3	mar.	Cust is unhappy about service offered by ASTROCOMM and its contractors skilled. Cust advised he was meant to have 2 numbers connected one a voice line (which was connected finally by ASTROCOMM and not skilled) and a fax line which is not yet connected. I advised cust that the fax line was a duet system with the main number. Cust advised he did not order that he ordered 2 seperate independent lines. Cust advised he is a long standing customer of ASTROCOMMs and has multiple lines with them. Cust wants contact by 04/03 or he is withdrawing all his accounts with ASTROCOMM. Cust is refusing to pay any of his connection fees until he is actually connected and wants reimbursement. Cust advised in the past for ASTROCOMMs stuff up they gave him a months free internet access which cust agreed was acceptable. Cust needs also to point out his disgust with the lack of skill and competence with the contractors skilled cust advised they should change the name of the company to unskilled cust advised he was happy that a ASTROCOMM techy hooked it up for him and that it should be done by ASTROCOMM (trained) techs and not bargain basement cheap labor that do not have the skill necessary to complete a job cust needs reimbursement
386595	3	mar.	Customer rang to complain about mobile calls they have made on their telephone due to a fault.he wanted to be reimbursed for outgoing mobile calls
386597	3	mar.	Samantha rang about surname45 - she said that surname45 never signed a transfer of ownership to the company name on his mobile 0419xxxxxx & wanted it changed back to surname45 tonight. I explained the process for transfer of ownership. Samantha was unhappy & wanted me to provide the transfer of ownership form now.samantha would not accept that i was unable to provide the paperwork now & wanted the ASTROCOMM solicitors number. I advised the our solicitors keep business hours & on her insistence provided the ASTROCOMM switchboard number. I told samantha that i would refer her request for a copy to the relevant area & she would be contacted when we locate it.
386601	3	mar.	Mr bobo is unsatisfied time taken to restore service. Mr bobo was newly connected on the and has not had a workable service since.
386603	3	mar.	Jodie has called to advise that the ASTROCOMM workers who were working out the front of her premesis have ruined the nature strip at the front of her premesis.
386604	3	mar.	Customer has complained that he experiences difficulty with the eftpos service on his business line.when he attempts to settle his transactions for the day the screen display on his machine disappears and all transactions freeze.the machine restarts then completes the actions.customer has advised 9 machines have been tried on this line.while the phone service works consistantly.
386605	3	mar.	Cust has temporary line on property is wondering when will be properly installed. 
386608	3	mar.	Customer disputes credit management decision to refuse to allow customer to upgrade due to temporary disconnections
386613	3	mar.	Cust reported no service on 2bob@ 19:11. Went into vhq as there was a cut cable. Cust requested diversion to mobile.which was not done.and also not happy having to wait over an hr to get thru to faults to report line out of service.s991432. Cust spoke with related faults who transfered cust to faults for complaint to be logged
386617	3	mar.	Customer organised to have phone connected, was told that ASTROCOMM tech would have to attend, on arrival of ASTROCOMM tech, was told he was unable to do job due to the fact that he was unable to go through the ceiling due to new laws in qld, cust had to organise AUSTEL electrician to go out and connect up lines, paid $125 ASTROCOMM plus has electricians bill for $169, feels that ASTROCOMM should pay the electricians bill because she was not informed of the fact that the ASTROCOMM techs are unable to go into roofs prior to the appointment.
386619	3	mar.	Mr bobels advises that he made an appointment on 1/03/2003 and no one showed up. He also said that he made another appointment for the 2/03 and no one showed up. He also advised the consultant that him and his wife would not be at the premises during the week as they both work, but a linesman turned up 03/03 when there was no one at the premises.
386622	3	mar.	Mr bob claims that when he connected to isdn, he did so because he claims he was told that he could not have DSL. He recently found out that he could have DSL, the reason, as mr bob explains is that there were problems on the line, which falsely indicated that he could not have DSL. Mr bob believes that he should not have to pay the $125.00 to have the isdn removed, so that he can progress to the final phase for DSL connection. He believes that ASTROCOMM should disconnect the isdn at no charge. Alternatively, have his service checked to see if he can have DSL. If he can then disconnect the isdn, with no charges. Mr bob stated that he was given the wrong information back two and half years ago. Now wants ASTROCOMM to rectify the matter.
386623	3	mar.	Cust contact ASTROSERVE, wanting to put a complaint regarding her connection.cust claim she has been waiting around for a week or 2 to have her phone connected.cust claim she heard was that she was on a queu to have her phone jump started. Cust claim that was supposed to happen last Tuesday.cust is really frustrated as she has no other way of communicating and she has a mother in the hospital as well.cust want to get the line connected asap.
386624	3	mar.	The customer is disputing a contract that she was put on. The customer believes that she was on a 24 month contract and not on a 30 month contract
386625	3	mar.	Penny called disputing reverse chgarge calls items 106 & 107 on bill. Her daughter has been travelling overseas and has used tc before, although was having trouble from spain and the uk and asked the operator to put her through. Penny could not say if her daughter asked just to be put through or specifically asked for a tc call. The operator put the calls through as reverse charge calls and are billed at $36.74 and $129.80. Penny needs the calls converted back to tc rates.
386629	3	mar.	Customer had this service connected on 05/12/2001 and at that time he requested that it be connected as a residential service, the customer has only just realised that it is in fact connected as a business service and called immediately to have the service changed to residential but he is extremely unhappy that he has been paying all this extra line rental for over twelve months and wolud like to be compensated.
386632	3	mar.	Mr bobord called ASTROSERVE regarding alleged problems with his billing. Cust has two accts with ASTROCOMM. &. Cust claims that he is not gaining any credits from the rewards package although has been placed on quarterly billing. Cust claims all this trouble with biling occured when all his services churned to optitel and then were required to be churned back. Supervisor ASTROSERVE 1809919993
386636	3	mar.	Cust unhappy he maynot get a sg payment for this cable fault. Cust received one for the last cable fault.
386637	3	mar.	Mrs bobay expressed her dissatisfaction at having to stay home taking half days off work when she said we new that the fault was not in her house.mrs b said that the ct told her only just half an hour ago again that the problem is not in the house.she said that we should be able to see this in the fault history and flag that the problem is in the street.i tried to explain:1. This is an attempt to prevent multiple visits,2. The clearances,3. The escalation process.additonal information:interim requested to be deliver to mr bobays business pm on fri 28/02/03,level 2 investigation on tue 04/03/03.
386639	3	mar.	Cusomter has had a missed appt for today 3/3/03 her mother has had a heart attack and she has had to wait for the linesman to come and he has not arrived she must have her service restored advised cust job was in dispatch customer advised that she is going to her member of parliment
386640	3	mar.	Cust very upset with delay in restoring DSL service advised t/leader will contact him
386641	3	mar.	Level 3 fault investigation
386642	3	mar.	Cust advises that temporary line put above ground to rectify fault reported in February. Cust inquiring as to when permanent repairs will be made and line put underground. 
386643	3	mar.	Cust has recently moved to his new premis and can only connect at 28.8k. Cust used to connect to internet at 50k and higher before moving to the new premis. Cust believes he should be able to connect at higher speed in his new premis as he still pays the same and ASTROCOMM should do something about it. Cust requested to talk to someone from compliant area regarding this issue.
386644	3	mar.	Kana case # 9954, mikenbob@astronet.com i am refusing to pay any internet fee this month as ASTROCOMM and astronet have mucked me around so much with delays in getting internet speed higher than 99 k etc i want someone from sales there to cal me and verify the amount of mobile phones i had to call astronet to fix technical problems they had. Mike
386645	3	mar.	Re: the customer claims he did not give authority to transfer his local calls to ASTROCOMM until the 11th February and is disputing the local call charges on his current bill from 20 January 2003 the customer is concerned that he will also receive an bill from horizon service provider and does not want to be billed twice. 
386648	3	mar.	TIA level 1 complaint 03/992mr bobemann called ASTROSERVE regarding his wifes nokia 9915 mobile that has allegedly been faulty 4 times and sent to nokia for repair. Cust advised that the phone is still in warranty as purchased from rt edwards on the 4/9/02. Cust not happy that nokia is not ofering to give him a new phone entirely considering the amnt of times it has become faulty.supervisor ASTROSERVE 1809919993
386650	3	mar.	Cust rang six weeks ago to get line tfr to new location.he wanted conn 28/02/2003.we asked for lease as line still conn.we sighted pod but had actually selected wrong ip.cust with ip got to work this morning.03/03/2003 and found line had been disconnected.i have reconnected there line.i spoke to dan and told him the situation.he was not impressed at all.the conn is a new line installation so i rang wmc for a fast track but they could not fast track order at all.i need this work to be fast tracked as soon as possible as this is a business line.
386651	3	mar.	Customer advises that has had his service out of action for a total of 10 days. Customer advises that the reason for this is because he did not have the time to call ASTROCOMMs fault reporting centre. Customer reported his service out of action on 27.03.03, and was restored on 03.03.03. Customer iniTIAlly said that he didnt know that his service was out until he purchased a new answering machine. I advised customer that we require that their telephone service is reported out of service. Customer advised then that he had been trying since 10 days prior to his service being restored, but the queues that he had to wait in were too long. Customer advised that he had to wait a total of 10 minutes until he was iniTIAlly answered by a consultant who advised him that they were talking with someone else, and transferred him to silence after 7 minutes of silence, customer terminated the call. Customer advises that he will be seeking compensation from ASTROCOMM for loss of business. Customer asked my opinion on him speaking with his barrister. I advised him that i am not able to provide advise, only log his complaint. When i asked which customer fault reporting centre that the customer called. Customer advised that he would play my game and looked through the white pages. Customer then asked which number he should have rung. I advised him that i was asking which number he called. Cust advised that he called 993 after spending some time looking through the white pages directory. Advised customer that contact with him would be within 5 working days.
386652	3	mar.	Customer is complaining that there has been some work done in the front yard approx a month ago to raise pit and no one has been back to complete the work
386655	3	mar.	Cable account 9937 user name phzu , email addresspbob@astronet.com.au customer is on 1gig plan is disputing usage for the month of January as customer has used 5325 mg for the month customer does not have fire wall and claims does not use any file sharing programs wants usage investigated as believes we are billing incorrectly customer has a language problem and all conversation was via an interpreter
386658	3	mar.	Mr bob emailed the following on kana case# 9959:redir: business.bilbob@ASTROCOMM.com date: 2/25/20099:53:50 pm subject: small business complaints the following is the contents of a form submitted on 25-feb-03 at 04:45 pm: page: small business complaints enquiry: i was recently visited by one of your sales people, and persuaded to return to ASTROCOMM from aaphone with cheaper calls. I was told i would get 15 cent local calls, and i was promised a $100.00 credit for returning to ASTROCOMM. I have just received my first bill, and am being charged 22 cents for local calls, and no $100 credit. Thats more expensive than aaphone!!! Please honour your promise or churn me back to vodatel. Like to be contacted: no
386659	3	mar.	Vicki purchased a kyocera on the 01/03/03 and is now wanting to exchange it to the kycoera 2235 as it has 2 features that are not available on the phone is currently has.
386661	3	mar.	Customer requesting customer servcie guarantee fro fault logged on 31/12/2002 thru to 04/01/2003.
386663	3	mar.	Cust wishs to change billing please call icust to confirm
386664	3	mar.	Ref s99697.cust requested a/h service as she would be on site till 9.30pm. Cust rang ASTROCOMM at 7pm and was told tech would be there with in 2 hrs. ASTROCOMM called cust at 8.05pm and said was was on his way. Cust waited til 9pm aand when no tech turnt up she went home.cust received a call ferom tech at 9.55pm asking if she could come back to site but that was not possibel. She asked if this could be put in for attention on Saturday phone hours and she would go back to site. Cust received a call about 10.15am saying tech was on site. Fault went back to rbq and when they were not able to contact customer requeued fault. Tester re tested service and founf it to be still faulty and queued it out for tech to attend again. 
386666	3	mar.	Cust called into ASTROSERVE requesting that a pre-bill statement be sent showing $30.00 worth of charges to an info 1902 number. Cust has taken up a dispute with the provider of the service & is arranging for the charge to be rebated but requires a copy of the calls made in order to do so. The calls were made on the 3/3/03 in the am. Cust wld like to have it mailed to him.supervisor ASTROSERVE 1809919993
386667	3	mar.	Unhappy with repair
386668	3	mar.	Cust has requested that her home tn be taken out and replaced with her bus tn, however this has not been actioned and cust is annoyed as she is losing business,please investigate.
386669	3	mar.	2src992: cust unhappy that the phone has been in for repair three times, having the main board replaced each time, since the 20 dec 2002, and is faulty again. Phone doing the same thing: not switching on.
386670	3	mar.	Barry has had his phone repaired 3 times and replaced 3 times. He is looking at upgrading at $0 penalty to a new 12/24mth mro.
386671	3	mar.	TIA level one sale of debtcust upset at denial of upgrade from prepaid to post paid mobile due to $366.55 on mobile acct. Cust claims all amounts paid.
386672	3	mar.	Client is querying their charges
386675	3	mar.	Customer called 111 complaining about misinfformation from straithfield and was needing to go on a higher pplan.
386677	3	mar.	Jonathon called said wants to connect service was deactivated 27/11/2002 said that he did not recieve any bills jonathon said he advised new address
386679	3	mar.	Cust rang re calls on bill he does not recognise, n 99/99/99 fault recorded 10/01/03 to 13/01/03. Metering m ay be affected, futher investigation required. W ill log cato for complex billing. Sc pauline c stm cust rang re bill, calls on there he does not recognise. To adjust, i need to know which calls are those he normally calls. From previous fleximax notes:28/01/03 c997_ cust rng as he was away from 992 until jan 8 n 99/99/99 cust a/c is 4 times high than normal.cust advised that 2 day after comming home he reported a fual t as everytime he picked up the pj therewas alrea dy someonr on the line.i spoke with fault who advised ised was a crossed line that is not fixed but mayhave affected meterring. I will dipute a.ms so t hat a/c is $30 roberta r stm 
386681	3	mar.	Dealer craig from a4q called as cust is disputing length of contract. Systems states 30 month contract cust has contract stating 24 month.
386683	3	mar.	TIA level 1 complaint.cust is disputing idd calls on bill issued 23/12/02, cust claims he has been charged for calls he did not make. Cust is also disputing local calls to his internet provider (number ) as he claims he has been charged for numerous call drop outs and unsuccessful login attempts.
386686	3	mar.	Mrs smith called said that her mobile recieved a sms from a r rated service advertising a strip club and table top dancing mrs smith said that ASTROCOMM had breached moral grounds and wanted to dispute
386689	3	mar.	Cust is disputing charges please read letter from cust & call nikki to discuss.
386693	3	mar.	Temporary cable
386694	3	mar.	Tech was at business next door and since he has left cust has had no service see s99947
386695	3	mar.	Roger called advised was waiting for credit for $1036.75 which relates to mobile number. Roger advised mobile was stolen and he reoprted this on 01 jan 03. He advised he received letter stating steps were taken to barr service. He now has received charges for $610.75 jan acc & $426.01 feb acc. Roger states he a consulta advised he would receive credit for the figures above. Please investigate.
386696	3	mar.	Cust feels like he has been mislead when purchasing bulletinboard product, as cust now unable to retrieve calls unanswered calls using 10# as they are being answered by his bulletinboard, and when caller does not leave a message he is unable to retrieve the number. Cust feels ASTROCOMM knew about this and feels ASTROCOMM hid the fact that this happens. He feels ASTROCOMM did not mention the 2 services 10# and bulletinboard are not compatible.
386698	3	mar.	Letter received at ASTROSERVE cust advised temporary cable installed around 30 December, and cust is still awaiting for permanent line to be installed. Letter outlines previous phone contacts with 993 that have not been satisfactory in resolving the issue - cust not happy at quality of service received and wants permanent line installed as currently her phone cable is running above ground.
386700	3	mar.	There was a fault on the customers line between the 2nd January 2003 and 6th January 2003.between that time all calls made to that service were diverted to mobile number free of charge.however customer was told that all calls made from that mobile between that time would be free as well.i have spoken to faults and they assured me this was not the case.
386703	3	mar.	Customer had an appointment today and the technician worked outside and did not contact the customer. He said his service is still not working properly and if the technician had called he could have advised him of that.
386704	3	mar.	Customer reports has had a temporary line put in to fix his service, the line is running from the pole across the ground and in thru his lounge room door, customer reports the line is all above ground and has been taped down in areas, but the customer feels it is becoming a hazard.
386705	3	mar.	TIA level 1 complaint 03/997 customer called ASTROSERVE via the TIA complaining that she was advised by the insolvency staff that she can get a service with local calls access but she received a call from a supervisor stating that she can not have access to local calls but can have incoming calls only, customer is not hppy and she wants the decison to be reviewed.
386706	3	mar.	Cust contact ASTROSERVE, wanting to put a complaint regarding with trying to connect up an acct in her name. Cust claim she had incontact service, but was disconnected as of a result cust has a mobile.cust claim the mobile is not in her name and its in her husband name. Cust claim her husband is very ill and require some form of ASTROCOMMmmunication. Cust also state she is a pensioner, and needs the phone to be connected. Cust also state she was advised that she has an outstanding debt for something like 9 years ago, cust claim she hasnt got a clue what is it or what the amount is also. Cust would also like to ge this clear up as well.
386709	3	mar.	Bill advised he had a friend temporarily fix his leadin cable under his house, which had been chewed through by mice. Bill advised he needs a conduit placed around the line to prevent mice doing the same damage again. Bill advised the cable is not stapled to the underside of the floor boards, it is lying on the ground.
386711	3	mar.	Customer reported service 28/02/03 at 09:45, advised was told that service will be restored by 03/03/03 at 12:00. Customer, pat called for an update advised that is in the system for a lines person to attend today. Advised that the restoration period is 03/03/03 at 18:00. Pat is not happy as service has been out of order for more than 24 hours.
386713	3	mar.	Compensation for ASTROCOMM DSL fault
386714	3	mar.	Cust enq on DSL. Cust is moving to this loctation,is on a rim, on axe. Wants to know if he can be put on a clean copper line, and availability of this.
386718	3	mar.	Cust wrote to ASTROSERVE disputing amount owed for $66.73 on acc. Cust claims she is up todate with all her account & that she has paid everyting correctly. Cust claims the error must be a ASTROCOMM fault in the billing. Cust claims she has spent awhile on the phone being transferred to one area to another trying to have this amount explained but she cannot get an answer. Cust is very frustrated & demansd an explanation of the alleged amount owed in writing.
386719	3	mar.	Cust has had inncorect entry in book causing confusion amoung there customers.please call cust to discuss.
386723	3	mar.	Miss toni called in and advised that she has got the same problem she had on complaint number 9949 (archived). The pit is now leaking algea on the concrete driveway and is very slippery.
386724	3	mar.	Cust has had inncorect address & billing occuring, (see mulitple letters attached. Cust is now paying for charges thjey claim do not belong to them.please call cust toi resolve.
386729	3	mar.	Seq 9953 case 03/992 - provide local call itemisation for the period 26/07/02 to 23/01/03.
386731	3	mar.	Cust has had no service fault for past 3 days & went to the mobile shop at kippa ring in peninsula fair shopping centre on 1/3 to report & was advised by the assistant manager that they couldnt report & for cust to go to a payphone or neighbours to report. Cust says her husband also went back to the m/shop again to report & was advised the same. Cust was very unhappy with this attitude & was not able to report fault until Monday when she went to her daughters house to call 993
